zip,bfs_number,name,lat,lng,zone_category
2863,6729,Haute-Sorne,46.1425049739306,7.317953598862245,high_potential
2864,6729,Haute-Sorne,46.1425049739306,7.317953598862245,high_potential
2873,6722,Saulcy,46.86848565247736,7.124700070575635,high_potential
2882,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2883,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2884,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2885,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2886,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2887,6759,Soubey,46.897084324786896,8.178394128589959,high_potential
2888,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2889,6808,Clos du Doubs,47.56288852113547,8.230255172165615,high_potential
2900,6800,Porrentruy,46.20939675034622,7.039205273162217,moderate_potential
2902,6790,Fontenais,47.71385813062203,8.473386564639478,good_potential
2903,6790,Fontenais,47.71385813062203,8.473386564639478,good_potential
2904,6790,Fontenais,47.71385813062203,8.473386564639478,good_potential
2905,6785,Courtedoux,47.238570924755216,7.730514724413304,moderate_potential
2906,6809,Haute-Ajoie,46.98944472092084,8.355360286863897,high_potential
2907,6809,Haute-Ajoie,46.98944472092084,8.355360286863897,high_potential
2908,6792,Grandfontaine,47.516868132537866,7.55076940333674,good_potential
2912,6809,Haute-Ajoie,46.98944472092084,8.355360286863897,high_potential
2914,6809,Haute-Ajoie,46.98944472092084,8.355360286863897,high_potential
2915,6778,Bure,46.89601831635695,8.586367853319885,moderate_potential
2916,6789,Fahy,47.31914219992367,9.348522532323779,moderate_potential
2922,6783,Courchavon,47.4212990305949,7.070992645452782,moderate_potential
2923,6807,Basse-Allaine,46.6032803832929,6.5859600604040045,moderate_potential
2924,6807,Basse-Allaine,46.6032803832929,6.5859600604040045,moderate_potential
2925,6807,Basse-Allaine,46.6032803832929,6.5859600604040045,moderate_potential
2926,6774,Boncourt,47.63675535729882,9.046765402846113,moderate_potential
