municipality,bfs_number,dist_to_zone_m,in_zone,near_3km,zone_category,lon,lat
Lantsch/Lenz,3513,2500,FALSE,TRUE,good_potential,8.016598262844221,47.266940244505065
Laténa,6513,0,TRUE,TRUE,high_potential,8.502465678531305,47.50750580257659
Lauenen,842,0,TRUE,TRUE,high_potential,6.898309686580717,47.1795047200417
Lauerz,1365,5590,FALSE,FALSE,moderate_potential,7.373248112469476,46.30059545542543
Laufen,2787,0,TRUE,TRUE,high_potential,8.630455937677935,47.44038195618245
Laufen-Uhwiesen,34,0,TRUE,TRUE,high_potential,8.363723597563757,47.44727002781984
Laufenburg,4170,15207,FALSE,FALSE,moderate_potential,8.962851362589896,47.45828650683177
Laupen,667,0,TRUE,TRUE,high_potential,6.577980100770542,46.851317154512124
Laupersdorf,2426,0,TRUE,TRUE,high_potential,8.433030319539824,47.335438937147416
Lauperswil,903,0,TRUE,TRUE,high_potential,8.178396330749564,47.58968715875254
Lausanne,5586,0,TRUE,TRUE,high_potential,9.42616102966733,47.46757290777579
Lausen,2828,0,TRUE,TRUE,high_potential,7.220932497928411,47.14555246296443
Lauterbrunnen,584,0,TRUE,TRUE,high_potential,7.356638151708122,47.427797115900894
Lauwil,2889,2500,FALSE,TRUE,good_potential,7.086370357595597,46.919109480591494
Lavertezzo,5112,10607,FALSE,FALSE,moderate_potential,6.157984334019179,46.486904111128055
Lavey-Morcles,5406,9014,FALSE,FALSE,moderate_potential,6.833362076414316,46.784676650654156
Lavigny,5637,2500,FALSE,TRUE,good_potential,7.810752042886834,47.131908310016456
Lavizzara,5323,5000,FALSE,FALSE,moderate_potential,6.100502934311729,46.18485555749458
Lax,6061,0,TRUE,TRUE,high_potential,9.210079881298473,47.633489448259816
Le Bémont (JU),6741,2500,FALSE,TRUE,good_potential,8.008209260505346,46.35048863205283
Le Cerneux-Péquignot,6434,0,TRUE,TRUE,high_potential,9.530568489785995,46.446829825239796
Le Chenit,5872,9014,FALSE,FALSE,moderate_potential,8.978498240730364,45.84282077433898
Le Châtelard,2067,0,TRUE,TRUE,high_potential,8.238462876436367,47.45242679759975
Le Flon,2337,0,TRUE,TRUE,high_potential,8.2318547440342,47.14740038093748
Le Grand-Saconnex,6623,7906,FALSE,FALSE,moderate_potential,7.0974573151264275,46.29058529201071
Le Landeron,6455,0,TRUE,TRUE,high_potential,6.826526592917067,46.52558221241337
Le Lieu,5873,5000,FALSE,FALSE,moderate_potential,6.270087534833032,46.251712010724695
Le Locle,6436,0,TRUE,TRUE,high_potential,8.383764978492978,47.35385463467325
Le Mont-sur-Lausanne,5587,2500,FALSE,TRUE,good_potential,8.221834921136212,47.36161730481504
Le Mouret,2220,0,TRUE,TRUE,high_potential,7.616289311102178,46.55819420645394
Le Noirmont,6754,0,TRUE,TRUE,high_potential,6.119188237522934,46.23576891138215
Le Pâquier (FR),2145,2500,FALSE,TRUE,good_potential,7.841260101556102,46.695207056507044
Le Vaud,5731,2500,FALSE,TRUE,good_potential,9.02595625536075,47.408233271842924
Leibstadt,4311,23717,FALSE,FALSE,moderate_potential,6.89584777858502,46.353437093588205
Leimbach (AG),4137,0,TRUE,TRUE,high_potential,7.12799328724606,46.94236722186452
Leissigen,585,2500,FALSE,TRUE,good_potential,7.673250123700512,47.44780645609828
Lema,5395,14142,FALSE,FALSE,moderate_potential,7.492363614905178,46.8588570544813
Lengnau (AG),4312,20156,FALSE,FALSE,moderate_potential,8.944370620651053,46.0373602485555
Lengnau (BE),387,2500,FALSE,TRUE,good_potential,7.5494579465299925,47.09663246605098
Lengwil,4683,2500,FALSE,TRUE,good_potential,9.130332421865287,46.260755783342944
Lenk,792,0,TRUE,TRUE,high_potential,6.7243649798503755,46.63640841544158
Lens,6240,13463,FALSE,FALSE,moderate_potential,7.559094281841329,47.497502078767724
Lenzburg,4201,2500,FALSE,TRUE,good_potential,6.636807148005462,46.52522624759513
Les Bois,6742,0,TRUE,TRUE,high_potential,7.837018668010097,46.24239451746212
Les Breuleux,6743,0,TRUE,TRUE,high_potential,9.088424986094674,47.428353686426675
Les Clées,5750,2500,FALSE,TRUE,good_potential,9.050550432407046,47.47434365259663
Les Enfers,6745,0,TRUE,TRUE,high_potential,8.726110348058974,47.53425321544926
Les Genevez (JU),6748,3536,FALSE,FALSE,moderate_potential,8.105036336722035,47.177371746824235
Les Montets,2050,7906,FALSE,FALSE,moderate_potential,8.841062476904034,47.68824930833814
Les Planchettes,6422,2500,FALSE,TRUE,good_potential,7.835311003158036,47.31279864268932
Les Ponts-de-Martel,6437,0,TRUE,TRUE,high_potential,7.246296770974292,46.84852782647095
Les Verrières,6511,0,TRUE,TRUE,high_potential,7.391236357579509,46.19690194450671
Leuggern,4313,22500,FALSE,FALSE,moderate_potential,9.64695257232101,47.38398955057657
Leuk,6110,7071,FALSE,FALSE,moderate_potential,9.00370329139251,47.60281467774595
Leukerbad,6111,5590,FALSE,FALSE,moderate_potential,7.965068761344953,47.39938984664171
Leutwil,4138,0,TRUE,TRUE,high_potential,6.452635920427317,46.5174120802697
Leuzigen,388,10607,FALSE,FALSE,moderate_potential,6.952266850932264,47.142217925804566
Leysin,5407,3536,FALSE,FALSE,moderate_potential,9.399528413222587,46.864415553019874
Leytron,6135,5000,FALSE,FALSE,moderate_potential,8.42915831843163,47.52846300801923
Lichtensteig,3374,0,TRUE,TRUE,high_potential,7.510148056590712,46.88633919322919
Liddes,6033,5000,FALSE,FALSE,moderate_potential,9.659899582900893,47.0222364978578
Liedertswil,2890,0,TRUE,TRUE,high_potential,8.233933402181309,46.95034693000884
Liesberg,2788,2500,FALSE,TRUE,good_potential,8.29065099750624,47.16441240457037
Liestal,2829,2500,FALSE,TRUE,good_potential,6.428589847146014,46.446768159845185
Ligerz,740,0,TRUE,TRUE,high_potential,9.370991293671553,46.80521097058846
Lignerolle,5755,2500,FALSE,TRUE,good_potential,6.336413948515715,46.475377384874974
Lignières,6456,0,TRUE,TRUE,high_potential,6.718317980137405,46.67890850404248
Lindau,176,7906,FALSE,FALSE,moderate_potential,7.849105677768604,47.48455347609208
Linden,614,0,TRUE,TRUE,high_potential,7.466899779106769,46.20450709791619
Linescio,5315,25000,FALSE,FALSE,moderate_potential,8.428793568496017,47.47812320828333
Locarno,5113,10607,FALSE,FALSE,moderate_potential,7.718412437855979,47.414814984632855
Lohn (SH),2917,10000,FALSE,FALSE,moderate_potential,8.72354968955565,47.273960194075684
Lohn-Ammannsegg,2526,11180,FALSE,FALSE,moderate_potential,7.0921233273552895,47.036459482926425
Lommis,4741,2500,FALSE,TRUE,good_potential,7.163102472854914,47.40477139910343
Lommiswil,2551,5000,FALSE,FALSE,moderate_potential,7.39054815462176,47.327280992065425
Lonay,5638,0,TRUE,TRUE,high_potential,8.595892186355286,47.00174353672879
Longirod,5429,2500,FALSE,TRUE,good_potential,7.083288293066378,47.12319104644891
Losone,5115,21360,FALSE,FALSE,moderate_potential,7.885343531862275,47.29837251492622
Lostallo,3821,12500,FALSE,FALSE,moderate_potential,6.8712972407476025,46.30770933781374
Lostorf,2493,9014,FALSE,FALSE,moderate_potential,9.422959070462372,46.697335063935014
Lotzwil,331,0,TRUE,TRUE,high_potential,8.301396569680321,46.83985446831378
Lovatens,5674,2500,FALSE,TRUE,good_potential,8.689523031535446,47.39258213456523
Loveresse,696,0,TRUE,TRUE,high_potential,9.16966008821945,47.579524127897464
Lucens,5675,0,TRUE,TRUE,high_potential,9.181208886183903,47.4421049899552
Lufingen,63,14142,FALSE,FALSE,moderate_potential,8.992620212204448,45.95758148110996
Lugano,5192,2500,FALSE,TRUE,good_potential,7.026653878081035,47.0513419091483
Luins,5858,2500,FALSE,TRUE,good_potential,7.0319930482194515,46.137992860388614
Lully (FR),2025,12500,FALSE,FALSE,moderate_potential,8.405873396711298,46.9423964463476
Lully (VD),5639,2500,FALSE,TRUE,good_potential,8.8918267191807,46.02245482276876
Lumino,5010,3536,FALSE,FALSE,moderate_potential,9.431608194926103,46.592402624592886
Lumnezia,3618,0,TRUE,TRUE,high_potential,9.28015365297784,47.489589431876176
Lungern,1405,0,TRUE,TRUE,high_potential,8.450959627986173,47.30147637457947
Lupfig,4104,7500,FALSE,FALSE,moderate_potential,9.036448000313408,45.846985367340295
Lupsingen,2830,0,TRUE,TRUE,high_potential,7.8557458361012635,47.393616139043964
Lussery-Villars,5487,0,TRUE,TRUE,high_potential,7.648317985603855,47.14367766188392
Lussy-sur-Morges,5640,2500,FALSE,TRUE,good_potential,7.738319397692621,47.52340921809006
Luterbach,2527,7500,FALSE,FALSE,moderate_potential,8.28623302776721,47.08657363624248
Luthern,1135,0,TRUE,TRUE,high_potential,8.141177561273922,47.26750861661852
Lutry,5606,2500,FALSE,TRUE,good_potential,6.384164896515184,46.68613441671317
Lutzenberg,3033,3536,FALSE,FALSE,moderate_potential,8.73230695831843,46.65045270506043
Luzein,3891,0,TRUE,TRUE,high_potential,6.714636727298848,46.72656998491372
Luzern,1061,5000,FALSE,FALSE,moderate_potential,6.6719747813139785,46.84772532721885
Lyss,306,5000,FALSE,FALSE,moderate_potential,8.268332312646832,47.32820923710475
Lyssach,415,2500,FALSE,TRUE,good_potential,8.399631296907856,47.09101464090632
Läufelfingen,2852,5000,FALSE,FALSE,moderate_potential,7.783361097949665,47.492264681855296
Löhningen,2903,11180,FALSE,FALSE,moderate_potential,7.609567318994299,47.451256565603984
Lüscherz,497,0,TRUE,TRUE,high_potential,10.36266187094389,46.602498015374735
Lüsslingen-Nennigkofen,2464,10308,FALSE,FALSE,moderate_potential,6.574911359318289,46.62419277302179
Lüterkofen-Ichertswil,2455,12500,FALSE,FALSE,moderate_potential,7.6915991690610674,47.2097047282216
Lütisburg,3393,0,TRUE,TRUE,high_potential,8.241660294952345,47.34808200632438
Lütschental,586,2500,FALSE,TRUE,good_potential,6.189832796936438,46.37289058941023
Lützelflüh,955,0,TRUE,TRUE,high_potential,7.496498197679712,47.053250148112795
Madiswil,332,0,TRUE,TRUE,high_potential,6.257695573054088,46.522616560694665
Madulain,3783,30000,FALSE,FALSE,moderate_potential,8.25300905942568,47.55996923837745
Magden,4253,0,TRUE,TRUE,high_potential,8.546648258595768,47.70338519028133
Maggia,5317,23585,FALSE,FALSE,moderate_potential,7.057529059395017,47.06433391799667
Magliaso,5193,14577,FALSE,FALSE,moderate_potential,7.777537870042999,46.25364454305934
Maienfeld,3953,0,TRUE,TRUE,high_potential,8.20867053622541,47.328316538021916
Maisprach,2853,2500,FALSE,TRUE,good_potential,8.487091472864062,47.01489801303055
Malans,3954,2500,FALSE,TRUE,good_potential,9.557454710614035,47.41690646316371
Malters,1062,2500,FALSE,TRUE,good_potential,8.993245250043309,47.519287525922735
Mammern,4826,5590,FALSE,FALSE,moderate_potential,8.325994180776092,47.24900506304055
Mandach,4105,20000,FALSE,FALSE,moderate_potential,8.881935763506384,47.58810800533736
Manno,5194,9014,FALSE,FALSE,moderate_potential,8.655902956805757,47.38184175087711
Maracon,5790,0,TRUE,TRUE,high_potential,6.689878782113095,46.842870072173504
Marbach (SG),3253,0,TRUE,TRUE,high_potential,8.910189012569129,47.49314427731246
Marchissy,5430,3536,FALSE,FALSE,moderate_potential,8.635599626465448,47.36951985861718
Marly,2206,7500,FALSE,FALSE,moderate_potential,7.359206086436866,47.239753512937945
Marsens,2140,2500,FALSE,TRUE,good_potential,7.18438386611479,46.13622083839166
Marthalen,35,3536,FALSE,FALSE,moderate_potential,6.554685417616902,46.80423339351284
Martigny,6136,2500,FALSE,TRUE,good_potential,8.818232537852195,46.18090388377482
Martigny-Combe,6137,5000,FALSE,FALSE,moderate_potential,6.501018218981103,46.75117648440691
Maschwanden,8,7906,FALSE,FALSE,moderate_potential,8.9193686073609,46.03071884767238
Masein,3663,0,TRUE,TRUE,high_potential,7.855140392239883,47.258021540831315
Massagno,5196,10308,FALSE,FALSE,moderate_potential,6.899159711671425,46.902003289204345
Massongex,6215,5590,FALSE,FALSE,moderate_potential,7.558199090975731,47.15281073324106
Massonnens,2086,0,TRUE,TRUE,high_potential,8.003084770290384,47.28514916518225
Mathod,5919,3536,FALSE,FALSE,moderate_potential,9.215837600630023,47.49566072644511
Matran,2208,9014,FALSE,FALSE,moderate_potential,9.077777346038253,46.927070273311166
Matten bei Interlaken,587,7071,FALSE,FALSE,moderate_potential,9.33071242852823,47.59915038866994
Mattstetten,543,3536,FALSE,FALSE,moderate_potential,7.77818864059428,47.28864329278664
Matzendorf,2427,2500,FALSE,TRUE,good_potential,8.409453885156132,47.281459055928345
Matzingen,4591,0,TRUE,TRUE,high_potential,6.042233183652528,46.19023021993268
Mauborget,5562,0,TRUE,TRUE,high_potential,7.684076723770358,47.143020588920535
Mauensee,1091,0,TRUE,TRUE,high_potential,6.609750883650221,46.814532647189424
Maur,195,0,TRUE,TRUE,high_potential,8.19195615011579,47.195280581481796
Mauraz,5488,0,TRUE,TRUE,high_potential,7.302396540950943,46.83627031897022
Mauren,7008,12500,FALSE,FALSE,moderate_potential,8.642508028606551,47.51118420294168
Medel (Lucmagn),3983,3536,FALSE,FALSE,moderate_potential,7.344300925931798,47.34395112829265
Meggen,1063,2500,FALSE,TRUE,good_potential,7.395736720833099,46.08871258808851
